"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.116551500E-2,1.410341263E-2,-4.375219345E-2,-1.157861948E-1,1.245777010E-1
1.940674500E-2,-1.452207565E-2,4.414176941E-2,-1.050384045E-1,1.148584037E-1
2.761628400E-2,-6.437015533E-2,8.479976654E-2,-6.679362059E-2,1.256817610E-1
3.582716800E-2,-1.456499100E-2,6.599855423E-2,-8.089840412E-2,1.054158428E-1
4.404832200E-2,1.324176788E-2,-5.640983582E-4,-1.098349094E-1,1.106316860E-1
5.225909100E-2,4.803037643E-2,7.135391235E-3,-1.952441931E-1,2.011917637E-1
6.050959100E-2,1.042575836E-1,3.654861450E-2,-2.381396294E-1,2.625184337E-1
6.872039900E-2,1.171751022E-1,6.606292725E-2,-1.966813803E-1,2.382810951E-1
7.693032200E-2,1.322345734E-1,6.246089935E-2,-1.448135376E-1,2.058113384E-1
8.515624500E-2,1.398148537E-1,6.391477585E-2,-1.386620402E-1,2.070276631E-1
9.336732200E-2,9.443092346E-2,8.239269257E-2,-7.285684347E-2,1.449616319E-1
1.016097450E-1,4.888772964E-2,8.189439774E-2,2.139508724E-3,9.540062887E-2
1.098197840E-1,5.401277542E-2,6.669425964E-2,1.504760981E-2,8.713170915E-2
1.180701300E-1,9.314775467E-2,6.550598145E-2,2.998679876E-2,1.177571480E-1
1.262886680E-1,5.675315857E-2,6.586933136E-2,3.885865211E-3,8.703326818E-2
1.344980530E-1,5.238246918E-2,3.457593918E-2,-9.488642216E-3,6.347797239E-2
1.427475530E-1,6.267738342E-2,3.664636612E-2,3.555417061E-4,7.260535071E-2
1.509582450E-1,7.292747498E-2,4.598760605E-2,-9.372949600E-3,8.672444120E-2
1.591697450E-1,6.621122360E-2,5.067348480E-2,-5.470520258E-2,9.972154924E-2
1.673899760E-1,4.717826843E-2,4.601383209E-2,-8.287733793E-2,1.058853857E-1
1.756020530E-1,2.326822281E-2,4.142141342E-2,-9.904068708E-2,1.098462625E-1
1.838435910E-1,3.748750687E-2,5.121898651E-2,-9.984481335E-2,1.183118105E-1
1.920554370E-1,3.955841064E-2,3.954792023E-2,-7.859212160E-2,9.646568004E-2
2.002680140E-1,7.535457611E-2,6.831169128E-2,-6.374883652E-2,1.200363006E-1
2.084898220E-1,5.874729156E-2,5.373859406E-2,-7.263702154E-2,1.077739192E-1
2.166990910E-1,2.056264877E-2,2.723693848E-2,-6.733077765E-2,7.548580635E-2
2.249474370E-1,1.805734634E-2,1.292228699E-2,-5.982553959E-2,6.381338766E-2
2.331552450E-1,3.199100494E-2,2.523374557E-2,-8.128738403E-2,9.092747173E-2
2.413645140E-1,3.594779968E-2,3.787565231E-2,-1.362907887E-1,1.459520072E-1
2.495910910E-1,6.143569946E-2,5.060482025E-2,-1.128879189E-1,1.381263018E-1
2.578022060E-1,7.950687408E-2,4.681730270E-2,-1.282106042E-1,1.579593678E-1
2.660450140E-1,9.267759323E-2,4.729270935E-3,-1.189148426E-1,1.508384635E-1
2.742549750E-1,1.393795013E-3,1.344494820E-1,-1.265799999E-2,1.350512156E-1
2.824658980E-1,1.347446442E-2,1.920819283E-1,9.537816048E-2,2.148814135E-1
2.906862440E-1,7.809495926E-2,9.174871445E-2,9.373050928E-2,1.526501151E-1
2.988965910E-1,5.936479568E-2,5.803632736E-2,5.421316624E-2,9.915372738E-2
3.071475140E-1,2.173137665E-2,5.036211014E-2,3.485620022E-3,5.496129925E-2
3.153572060E-1,3.433895111E-2,1.875591278E-2,-2.794718742E-2,4.808318950E-2
3.235665900E-1,1.344203949E-2,3.925323486E-3,-1.002909541E-1,1.012638735E-1
3.317837440E-1,-1.951074600E-2,1.791954041E-2,-1.608604789E-1,1.630272149E-1
3.399921290E-1,1.410865784E-2,1.079130173E-2,-1.715375185E-1,1.724547090E-1
