"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.179853000E-3,-4.031710699E-2,2.443460980E-3,-6.169738993E-2,7.374284740E-2
6.038961000E-3,-4.703662544E-2,-5.497787148E-3,-5.192354694E-2,7.027605939E-2
8.370430000E-3,-4.948008433E-2,-7.941247895E-3,-4.459316283E-2,6.708123683E-2
1.029896100E-2,-5.070181563E-2,-7.330383174E-3,-4.337143153E-2,6.712294465E-2
1.242646800E-2,-5.253441259E-2,-5.497787148E-3,-3.481931984E-2,6.326511839E-2
1.429630700E-2,-5.253441259E-2,-1.832595794E-3,-2.626720630E-2,5.876384127E-2
1.652981400E-2,-4.948008433E-2,-1.221730490E-3,-2.260201424E-2,5.441160187E-2
1.863012200E-2,-4.520402849E-2,-1.832595794E-3,-1.588249579E-2,4.794805806E-2
2.059219900E-2,-4.092797264E-2,-4.886921961E-3,-1.099557430E-2,4.266009382E-2
2.240007700E-2,-3.909537569E-2,-4.886921961E-3,-9.162978269E-3,4.045108870E-2
2.466050600E-2,-3.176499158E-2,-7.330383174E-3,-9.773843922E-3,3.403347224E-2
2.666242300E-2,-2.809980139E-2,-1.221730467E-2,-1.038470957E-2,3.235279840E-2
2.881185300E-2,-2.015855350E-2,-1.038470957E-2,-1.221730467E-2,2.575795033E-2
3.059815300E-2,-1.710422710E-2,-1.099557430E-2,-9.773843922E-3,2.256070175E-2
3.286727600E-2,-1.038470957E-2,-8.552113548E-3,-1.221730467E-2,1.817259950E-2
3.486973000E-2,-6.719517522E-3,6.108652335E-3,-1.404990070E-2,1.672923365E-2
3.697066000E-2,-3.054326167E-3,1.954768784E-2,-2.138028294E-2,2.913001042E-2
3.911312200E-2,6.108652451E-4,2.687807009E-2,-2.199114859E-2,3.473347700E-2
4.101446800E-2,3.665191587E-3,2.993239649E-2,-2.748893574E-2,4.080470043E-2
4.295976900E-2,7.330383174E-3,3.054326214E-2,-3.115412779E-2,4.424031033E-2
4.508239100E-2,8.552113548E-3,2.993239649E-2,-3.481931984E-2,4.670623128E-2
4.694773000E-2,1.404990070E-2,2.748893574E-2,-4.214970022E-2,5.224594268E-2
4.923239100E-2,1.832595654E-2,2.993239649E-2,-4.886921868E-2,6.016634920E-2
5.115761500E-2,2.199114859E-2,3.115412779E-2,-5.131268129E-2,6.393106878E-2
5.328739100E-2,2.321287990E-2,3.054326214E-2,-5.314527452E-2,6.554501399E-2
5.517950000E-2,2.871066704E-2,2.809980139E-2,-5.436700583E-2,6.759935327E-2
5.742100600E-2,2.993239649E-2,2.260201424E-2,-5.558873713E-2,6.705898227E-2
5.952158300E-2,3.359758854E-2,1.649336144E-2,-5.681046844E-2,6.803130347E-2
6.148481400E-2,3.481931984E-2,1.160643995E-2,-5.742133409E-2,6.814913126E-2
6.330653800E-2,3.970624134E-2,9.162978269E-3,-5.619960278E-2,6.941859351E-2
6.555319900E-2,4.642575979E-2,6.719517522E-3,-5.619960278E-2,7.320449741E-2
6.765362200E-2,4.886921868E-2,5.497787148E-3,-5.742133409E-2,7.560182409E-2
6.970412200E-2,6.047565863E-2,9.162978269E-3,-6.047565863E-2,8.601494488E-2
7.154703800E-2,6.841690838E-2,1.221730467E-2,-6.169738993E-2,9.293386794E-2
7.375966000E-2,8.002334833E-2,1.221730467E-2,-6.414084882E-2,1.032813986E-1
7.575042300E-2,8.613199741E-2,1.038470957E-2,-6.719517708E-2,1.097349306E-1
7.786281400E-2,9.712757170E-2,1.160643995E-2,-6.902777404E-2,1.197217951E-1
8.000596800E-2,1.044579595E-1,1.038470957E-2,-7.024950534E-2,1.263103341E-1
8.190708300E-2,1.099557430E-1,1.282817032E-2,-7.513642311E-2,1.337920380E-1
8.384661500E-2,1.117883399E-1,1.099557430E-2,-7.696902007E-2,1.361681521E-1
8.597466000E-2,1.130100712E-1,1.404990070E-2,-8.063421398E-2,1.395369212E-1
8.784038400E-2,1.148426682E-1,1.832595654E-2,-8.552113175E-2,1.443556133E-1
9.012581400E-2,1.142318025E-1,2.138028294E-2,-8.552113175E-2,1.442909740E-1
9.212311500E-2,1.093448773E-1,2.993239649E-2,-8.674286306E-2,1.427465406E-1
9.418189100E-2,1.069014147E-1,3.543018550E-2,-9.101892263E-2,1.448021229E-1
9.608892300E-2,1.026253626E-1,4.214970022E-2,-9.224065393E-2,1.442806311E-1
9.828562200E-2,1.007927656E-1,4.642575979E-2,-9.346238524E-2,1.450853205E-1
1.003865830E-1,9.529497474E-2,5.558873713E-2,-9.712757170E-2,1.469864112E-1
1.023470060E-1,9.101892263E-2,6.658431143E-2,-9.834930301E-2,1.496345555E-1
1.042554230E-1,8.979719132E-2,6.902777404E-2,-1.014036313E-1,1.520232403E-1
1.064165060E-1,8.552113175E-2,7.880161703E-2,-1.075122803E-1,1.583743958E-1
1.083936150E-1,7.757988572E-2,9.712757170E-2,-1.123992056E-1,1.675887385E-1
1.105688520E-1,7.880161703E-2,1.331686229E-1,-1.111774743E-1,1.905361061E-1
1.123951530E-1,7.513642311E-2,1.466076523E-1,-1.111774743E-1,1.987453561E-1
1.146254680E-1,7.086037099E-2,1.612684280E-1,-1.105666086E-1,2.079751739E-1
1.166630760E-1,6.475171447E-2,1.673770845E-1,-1.111774743E-1,2.111120644E-1
1.187299290E-1,5.681046844E-2,1.649336219E-1,-1.136209369E-1,2.081832036E-1
1.208743140E-1,5.497787148E-2,1.588249654E-1,-1.142318025E-1,2.032162412E-1
1.227761980E-1,4.520402849E-2,1.459967941E-1,-1.136209369E-1,1.904420788E-1
1.247173460E-1,3.726277873E-2,1.282816976E-1,-1.148426682E-1,1.761634101E-1
1.268454680E-1,3.604105115E-2,1.203404516E-1,-1.148426682E-1,1.702046418E-1
1.287150000E-1,3.054326214E-2,1.117883399E-1,-1.093448773E-1,1.593293005E-1
1.309974290E-1,2.993239649E-2,1.081231460E-1,-1.087340117E-1,1.562358741E-1
1.329343460E-1,2.871066704E-2,9.651670605E-2,-1.062905490E-1,1.464153604E-1
1.350532750E-1,2.748893574E-2,8.918632567E-2,-1.038470939E-1,1.396211344E-1
1.369178070E-1,2.504547499E-2,7.269296050E-2,-1.001819000E-1,1.262852145E-1
1.391568140E-1,2.076941915E-2,5.803219974E-2,-9.957103431E-2,1.171046363E-1
1.412558910E-1,2.015855350E-2,4.214970022E-2,-9.407325089E-2,1.050368556E-1
1.431904680E-1,1.954768784E-2,3.604105115E-2,-9.468411654E-2,1.031801890E-1
1.450410760E-1,1.832595654E-2,2.199114859E-2,-9.468411654E-2,9.891679951E-2
1.472579290E-1,1.649336144E-2,1.343903504E-2,-9.040805697E-2,9.287763671E-2
1.492556530E-1,1.710422710E-2,7.941247895E-3,-9.101892263E-2,9.295193532E-2
1.514082750E-1,1.588249579E-2,-1.832595794E-3,-9.040805697E-2,9.181083185E-2
1.532571530E-1,1.954768784E-2,-8.552113548E-3,-9.101892263E-2,9.348633602E-2
1.554636210E-1,2.076941915E-2,-1.588249579E-2,-8.979719132E-2,9.352624238E-2
1.575092300E-1,2.321287990E-2,-1.832595654E-2,-9.162978828E-2,9.628445657E-2
1.595664670E-1,2.382374369E-2,-2.260201424E-2,-9.285151958E-2,9.848769720E-2
1.617245830E-1,2.687807009E-2,-2.565634064E-2,-9.529497474E-2,1.022829931E-1
1.636255440E-1,2.748893574E-2,-2.932153270E-2,-9.834930301E-2,1.062449023E-1
1.654881920E-1,3.481931984E-2,-2.993239649E-2,-1.020144969E-1,1.118717613E-1
1.676938140E-1,3.359758854E-2,-2.993239649E-2,-1.038470939E-1,1.131766991E-1
1.695083070E-1,3.848451003E-2,-1.038470957E-2,-1.014036313E-1,1.089568545E-1
1.718448520E-1,4.153883830E-2,-6.108652451E-4,-1.014036313E-1,1.095835055E-1
1.737041920E-1,4.153883830E-2,1.160643995E-2,-1.026253626E-1,1.113200322E-1
1.758998140E-1,4.276056588E-2,2.504547499E-2,-1.105666086E-1,1.211640077E-1
1.777159610E-1,4.337143153E-2,3.115412779E-2,-1.111774743E-1,1.233373080E-1
1.800026600E-1,4.520402849E-2,3.604105115E-2,-1.185078546E-1,1.318577763E-1
1.821025060E-1,4.886921868E-2,3.787364438E-2,-1.264491081E-1,1.407550724E-1
1.840641210E-1,5.192354694E-2,4.031710699E-2,-1.270599663E-1,1.430585855E-1
1.858972300E-1,5.192354694E-2,4.153883830E-2,-1.282816976E-1,1.444912584E-1
1.881320440E-1,5.742133409E-2,4.276056588E-2,-1.258382350E-1,1.447789246E-1
1.900649610E-1,6.047565863E-2,3.726277873E-2,-1.264491081E-1,1.450351575E-1
1.922828520E-1,6.597344577E-2,3.054326214E-2,-1.203404516E-1,1.405959128E-1
1.940723840E-1,6.536258012E-2,2.687807009E-2,-1.172861308E-1,1.369333196E-1
1.963384290E-1,7.330382615E-2,1.771509275E-2,-1.111774743E-1,1.343417516E-1
1.982743070E-1,7.574728876E-2,1.221730467E-2,-1.032362282E-1,1.286259426E-1
2.004423900E-1,7.452555746E-2,7.941247895E-3,-9.957103431E-2,1.246254910E-1
2.025853520E-1,8.002334833E-2,-2.443460980E-3,-9.285151958E-2,1.226014334E-1
2.044870440E-1,8.368854225E-2,-1.466076635E-2,-8.613199741E-2,1.209852518E-1
2.063572690E-1,8.429940045E-2,-2.565634064E-2,-8.063421398E-2,1.194425100E-1
2.085562750E-1,8.674286306E-2,-3.237585723E-2,-7.941248268E-2,1.219789442E-1
2.103802690E-1,8.857546002E-2,-4.276056588E-2,-7.330382615E-2,1.226683702E-1
2.127077750E-1,8.491026610E-2,-5.864306539E-2,-7.147123665E-2,1.255264915E-1
2.145815760E-1,8.857546002E-2,-7.452555746E-2,-6.902777404E-2,1.347757561E-1
2.167643520E-1,8.674286306E-2,-8.368854225E-2,-6.841690838E-2,1.385964276E-1
2.185857300E-1,8.796459436E-2,-9.957103431E-2,-6.658431143E-2,1.486123523E-1
2.208673130E-1,8.246681094E-2,-1.105666086E-1,-6.414084882E-2,1.521177121E-1
2.229673900E-1,8.185594529E-2,-1.142318025E-1,-6.291911751E-2,1.539743999E-1
2.249293520E-1,7.635815442E-2,-1.130100712E-1,-6.536258012E-2,1.512418951E-1
2.267784990E-1,7.208210230E-2,-1.166752651E-1,-7.086037099E-2,1.543701368E-1
2.289977750E-1,6.536258012E-2,-1.178969890E-1,-7.147123665E-2,1.525781916E-1
2.309364230E-1,6.291911751E-2,-1.209513173E-1,-7.452555746E-2,1.553772673E-1
2.331489670E-1,5.681046844E-2,-1.252273768E-1,-7.757988572E-2,1.578859205E-1
2.349373460E-1,4.764748737E-2,-1.362229437E-1,-8.002334833E-2,1.650173012E-1
2.372055830E-1,4.398229718E-2,-1.404990107E-1,-7.880161703E-2,1.669853566E-1
2.391200760E-1,3.359758854E-2,-1.582140923E-1,-8.307767659E-2,1.818306830E-1
2.413091210E-1,2.687807009E-2,-1.722639948E-1,-8.491026610E-2,1.939254183E-1
2.434516980E-1,1.771509275E-2,-1.863138974E-1,-8.674286306E-2,2.062789789E-1
2.453521980E-1,1.527163107E-2,-1.905899495E-1,-8.857546002E-2,2.107210566E-1
2.472198070E-1,4.886921961E-3,-2.058615834E-1,-8.735372871E-2,2.236817995E-1
2.494202750E-1,-4.276056774E-3,-2.107485086E-1,-8.796459436E-2,2.284096942E-1
2.512448460E-1,-7.330383174E-3,-2.156354338E-1,-8.674286306E-2,2.325439724E-1
2.535709290E-1,-1.527163107E-2,-2.247984111E-1,-8.613199741E-2,2.412183022E-1
2.554385380E-1,-2.382374369E-2,-2.296853364E-1,-8.613199741E-2,2.464582023E-1
2.576267750E-1,-2.993239649E-2,-2.339613885E-1,-8.674286306E-2,2.513129602E-1
2.594749230E-1,-3.176499158E-2,-2.370157093E-1,-8.735372871E-2,2.545901315E-1
2.617306980E-1,-3.604105115E-2,-2.425135076E-1,-8.796459436E-2,2.604794207E-1
2.638314670E-1,-3.909537569E-2,-2.419026345E-1,-9.040805697E-2,2.611875758E-1
2.657916980E-1,-4.153883830E-2,-2.431243658E-1,-8.979719132E-2,2.624851765E-1
2.675839220E-1,-4.276056588E-2,-2.467895597E-1,-9.040805697E-2,2.662840017E-1
2.698611980E-1,-4.276056588E-2,-2.498438805E-1,-8.613199741E-2,2.677109479E-1
2.717768460E-1,-3.970624134E-2,-2.492330223E-1,-8.429940045E-2,2.660828329E-1
2.740126980E-1,-3.543018550E-2,-2.461786866E-1,-8.124507964E-2,2.616486322E-1
2.757906920E-1,-2.687807009E-2,-2.474004179E-1,-7.635815442E-2,2.603074436E-1
2.780686980E-1,-2.015855350E-2,-2.455678284E-1,-7.269296050E-2,2.568933478E-1
2.799767690E-1,-9.773843922E-3,-2.455678284E-1,-6.658431143E-2,2.546223810E-1
2.821722750E-1,-4.276056774E-3,-2.455678284E-1,-6.108652428E-2,2.530877446E-1
2.843151980E-1,8.552113548E-3,-2.437352389E-1,-5.314527452E-2,2.496085446E-1
2.862170050E-1,2.443460934E-2,-2.437352389E-1,-4.459316283E-2,2.489828649E-1
2.881298070E-1,3.726277873E-2,-2.382374406E-1,-3.848451003E-2,2.441856881E-1
2.902856210E-1,4.886921868E-2,-2.339613885E-1,-3.481931984E-2,2.415336765E-1
2.921071150E-1,6.047565863E-2,-2.278527319E-1,-2.932153270E-2,2.375582561E-1
2.944361210E-1,7.147123665E-2,-2.217440903E-1,-2.626720630E-2,2.344537169E-1
2.963559610E-1,7.757988572E-2,-2.156354338E-1,-2.504547499E-2,2.305310278E-1
2.984917750E-1,8.368854225E-2,-2.034181207E-1,-2.015855350E-2,2.208824828E-1
3.003528460E-1,8.735372871E-2,-1.905899495E-1,-1.893682219E-2,2.105084464E-1
3.026252360E-1,9.590584040E-2,-1.789835095E-1,-1.954768784E-2,2.039978897E-1
3.047253130E-1,9.529497474E-2,-1.722639948E-1,-2.260201424E-2,1.981586919E-1
3.066871590E-1,9.834930301E-2,-1.655444801E-1,-2.260201424E-2,1.938773100E-1
3.085083460E-1,9.896016866E-2,-1.576032341E-1,-2.871066704E-2,1.882981592E-1
3.107563130E-1,9.957103431E-2,-1.496619880E-1,-2.993239649E-2,1.822335038E-1
3.126706150E-1,1.007927656E-1,-1.453859210E-1,-3.543018550E-2,1.804204691E-1
3.149066210E-1,1.020144969E-1,-1.362229437E-1,-3.787364438E-2,1.743503969E-1
3.166796920E-1,1.026253626E-1,-1.258382350E-1,-4.092797264E-2,1.674584288E-1
3.189617750E-1,1.020144969E-1,-1.221730486E-1,-4.214970022E-2,1.646505652E-1
3.208764220E-1,9.957103431E-2,-1.160643995E-1,-4.581489414E-2,1.596381540E-1
3.230644670E-1,1.007927656E-1,-1.087340117E-1,-5.009094998E-2,1.564971890E-1
3.252073130E-1,9.712757170E-2,-1.087340117E-1,-5.681046844E-2,1.564745340E-1
3.271088510E-1,9.529497474E-2,-1.099557430E-1,-5.864306539E-2,1.568770434E-1
3.289765380E-1,9.346238524E-2,-1.191187203E-1,-6.658431143E-2,1.654024108E-1
3.311770820E-1,9.040805697E-2,-1.368338168E-1,-7.635815442E-2,1.809079266E-1
3.329920760E-1,8.857546002E-2,-1.423316002E-1,-7.819075137E-2,1.849802425E-1
3.353278510E-1,8.857546002E-2,-1.600466967E-1,-8.552113175E-2,2.019267719E-1
3.371875380E-1,8.613199741E-2,-1.740965992E-1,-9.162978828E-2,2.147658375E-1
