"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.818731000E-3,-6.780604273E-2,-4.092797264E-2,-1.716531366E-1,1.890437983E-1
7.042818000E-3,-7.696902007E-2,-3.787364438E-2,-1.618792862E-1,1.832035651E-1
8.836731000E-3,-8.368854225E-2,-4.398229718E-2,-1.545489132E-1,1.811727936E-1
1.114831800E-2,-8.674286306E-2,-4.398229718E-2,-1.490511149E-1,1.779747218E-1
1.292815400E-2,-8.857546002E-2,-5.009094998E-2,-1.429424733E-1,1.754630048E-1
1.525297200E-2,-9.407325089E-2,-5.742133409E-2,-1.343903542E-1,1.738037785E-1
1.739912600E-2,-9.834930301E-2,-6.597344577E-2,-1.264491081E-1,1.732468121E-1
1.930058800E-2,-1.014036313E-1,-6.963863969E-2,-1.215621829E-1,1.729439241E-1
2.106107700E-2,-1.044579595E-1,-7.880161703E-2,-1.172861308E-1,1.757190844E-1
2.341320300E-2,-1.117883399E-1,-9.040805697E-2,-1.087340117E-1,1.802590774E-1
2.515292300E-2,-1.130100712E-1,-9.712757170E-2,-1.087340117E-1,1.844671425E-1
2.747535700E-2,-1.203404516E-1,-1.032362282E-1,-1.050688252E-1,1.902077841E-1
2.924934600E-2,-1.270599663E-1,-1.087340117E-1,-9.773843735E-2,1.937011163E-1
3.158028000E-2,-1.374446750E-1,-1.081231460E-1,-9.162978828E-2,1.974276361E-1
3.336869200E-2,-1.404990107E-1,-1.081231460E-1,-8.796459436E-2,1.979099709E-1
3.568454900E-2,-1.563815027E-1,-1.032362282E-1,-8.063421398E-2,2.039969845E-1
3.778558800E-2,-1.692096740E-1,-9.957103431E-2,-7.574728876E-2,2.104375356E-1
3.974774100E-2,-1.875356287E-1,-8.796459436E-2,-7.208210230E-2,2.193244431E-1
4.150088500E-2,-1.973094791E-1,-8.063421398E-2,-6.841690838E-2,2.238610738E-1
4.385989500E-2,-2.156354338E-1,-6.536258012E-2,-6.536258012E-2,2.346128174E-1
4.558950000E-2,-2.345722616E-1,-4.948008433E-2,-6.658431143E-2,2.488089532E-1
4.792170300E-2,-2.419026345E-1,-4.092797264E-2,-6.597344577E-2,2.540560550E-1
4.970692300E-2,-2.638937831E-1,-1.649336144E-2,-6.352998316E-2,2.719338495E-1
5.202631800E-2,-2.828305960E-1,7.941247895E-3,-6.475171447E-2,2.902567725E-1
5.380126900E-2,-3.048217595E-1,4.031710699E-2,-6.047565863E-2,3.133673235E-1
5.613108800E-2,-3.139847219E-1,5.375614017E-2,-6.047565863E-2,3.242428619E-1
5.827689500E-2,-3.335324228E-1,8.735372871E-2,-6.047565863E-2,3.500455060E-1
6.018166400E-2,-3.494149148E-1,1.160643995E-1,-5.742133409E-2,3.726378096E-1
6.193276900E-2,-3.573561609E-1,1.343903542E-1,-5.436700583E-2,3.856422751E-1
6.429389500E-2,-3.689626157E-1,1.661553532E-1,-5.192354694E-2,4.079669937E-1
6.607115400E-2,-3.848451078E-1,1.973094791E-1,-4.825835302E-2,4.351616437E-1
6.835647200E-2,-3.940080702E-1,2.266310006E-1,-4.825835302E-2,4.570917178E-1
7.012896100E-2,-3.982841372E-1,2.382374406E-1,-4.520402849E-2,4.662946882E-1
7.246135700E-2,-4.050036669E-1,2.590068579E-1,-4.337143153E-2,4.826941098E-1
7.446165400E-2,-4.062253833E-1,2.767219543E-1,-4.031710699E-2,4.931729627E-1
7.653312600E-2,-4.080579877E-1,2.913827300E-1,-3.909537569E-2,5.029350505E-1
7.859870300E-2,-4.068362415E-1,2.938261926E-1,-3.726277873E-2,5.032276558E-1
8.056066400E-2,-4.043927789E-1,2.974913716E-1,-3.848451003E-2,5.035034194E-1
8.230334600E-2,-4.025602043E-1,2.932153046E-1,-3.481931984E-2,4.992417430E-1
8.467243400E-2,-4.013384581E-1,2.889392674E-1,-3.481931984E-2,4.957528045E-1
8.640957700E-2,-3.940080702E-1,2.822197378E-1,-2.687807009E-2,4.853995987E-1
