"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.255307000E-3,-9.456194043E-1,9.028588533E-1,8.124507964E-2,1.309943102E0
9.540997000E-3,-9.798278809E-1,8.454375267E-1,8.979719132E-2,1.297262820E0
1.157603500E-2,-9.975429177E-1,8.191702962E-1,9.529497474E-2,1.294300189E0
1.360649700E-2,-1.031140566E0,7.623597980E-1,1.001819000E-1,1.286265813E0
1.552676900E-2,-1.068403363E0,7.079927921E-1,1.111774743E-1,1.286506887E0
1.774234300E-2,-1.102000952E0,6.487388611E-1,1.160643995E-1,1.284032380E0
1.971230400E-2,-1.119716048E0,6.163630486E-1,1.307251602E-1,1.284817693E0
2.171492000E-2,-1.151481032E0,5.528330207E-1,1.490511149E-1,1.285981785E0
2.361157700E-2,-1.183246017E0,5.088507533E-1,1.637118906E-1,1.298384307E0
2.582738100E-2,-1.194241524E0,4.917465150E-1,1.740965992E-1,1.303202624E0
2.763111500E-2,-1.210124016E0,4.538728893E-1,1.899790913E-1,1.306327979E0
2.988911200E-2,-1.228450060E0,4.184426963E-1,2.028072625E-1,1.313512324E0
3.177757700E-2,-1.236391306E0,4.062253833E-1,2.076941878E-1,1.317884441E0
3.399322700E-2,-1.244943380E0,3.836233616E-1,2.186897546E-1,1.320937588E0
3.596203800E-2,-1.240667343E0,3.671300113E-1,2.278527319E-1,1.313756739E0
3.820880400E-2,-1.232726097E0,3.579670191E-1,2.345722616E-1,1.304905423E0
4.005069200E-2,-1.224784851E0,3.518583775E-1,2.357939780E-1,1.295955651E0
4.221484300E-2,-1.200350165E0,3.426954150E-1,2.388483137E-1,1.270956012E0
4.410215300E-2,-1.158811331E0,3.353650272E-1,2.394591719E-1,1.229900035E0
4.636149700E-2,-1.102611780E0,3.396410644E-1,2.388483137E-1,1.178200877E0
4.816211500E-2,-1.072679400E0,3.420845270E-1,2.382374406E-1,1.150834479E0
5.042288100E-2,-1.001208186E0,3.408628106E-1,2.333505303E-1,1.083077909E0
5.227838400E-2,-9.150761366E-1,3.433062732E-1,2.339613885E-1,1.004968390E0
5.452749700E-2,-8.210029006E-1,3.426954150E-1,2.333505303E-1,9.197490855E-1
5.647238400E-2,-7.739662528E-1,3.433062732E-1,2.345722616E-1,8.785824398E-1
5.869745800E-2,-6.695083380E-1,3.463605940E-1,2.339613885E-1,7.892686533E-1
6.061157700E-2,-5.674937963E-1,3.536909819E-1,2.327396572E-1,7.080354988E-1
6.273626600E-2,-5.125159621E-1,3.536909819E-1,2.315179259E-1,6.643571871E-1
6.463261500E-2,-4.074471295E-1,3.597996235E-1,2.315179259E-1,5.908210240E-1
