"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.771360000E-3,3.537840843E-1,-1.913185120E-1,1.250199080E-1,4.211839607E-1
1.497866800E-2,3.421020508E-1,-3.036770821E-1,8.315932751E-2,4.649398424E-1
2.322228300E-2,2.923655510E-1,-3.987703323E-1,-4.855453968E-2,4.968429698E-1
3.142747500E-2,3.468265533E-1,-5.363044739E-1,-1.242885590E-1,6.506602744E-1
3.963155200E-2,3.406686783E-1,-6.420822144E-1,-6.173074245E-2,7.294761154E-1
4.783366800E-2,2.928638458E-1,-6.584382057E-1,9.554255009E-2,7.269377427E-1
5.603809100E-2,2.014689445E-1,-6.429944038E-1,2.508884668E-1,7.190108217E-1
6.425339800E-2,1.475377083E-1,-5.620155334E-1,3.829798698E-1,6.959183974E-1
7.245809100E-2,3.219718933E-1,-5.014114380E-1,3.897854090E-1,7.120477479E-1
8.066336000E-2,4.595375061E-1,-4.492149353E-1,4.848071337E-1,8.049886549E-1
8.886739800E-2,5.892176628E-1,-3.289742470E-1,5.795283318E-1,8.895249275E-1
9.707232100E-2,7.368993759E-1,-2.789855003E-1,7.205246687E-1,1.067712226E0
1.052957440E-1,7.731199265E-1,-2.799878120E-1,7.644482851E-1,1.122714913E0
1.135013210E-1,7.621283531E-1,-4.036827087E-1,7.315212488E-1,1.130894643E0
1.217083980E-1,8.524408340E-1,-4.992642403E-1,7.415335178E-1,1.235229580E0
1.299152440E-1,8.693413734E-1,-4.783368111E-1,7.212535143E-1,1.226689513E0
1.381212830E-1,8.544740677E-1,-3.894524574E-1,6.661430597E-1,1.151323467E0
1.463374370E-1,8.255991936E-1,-2.357316017E-1,6.770331860E-1,1.093415452E0
1.545437440E-1,8.386683464E-1,-1.806540489E-1,6.656769514E-1,1.085875814E0
1.627785130E-1,8.509397507E-1,-8.452701569E-2,6.735571623E-1,1.088541468E0
1.709824750E-1,8.647913933E-1,-5.031347275E-2,6.854997873E-1,1.104674413E0
1.791864360E-1,7.708930969E-1,-1.048445702E-1,6.302554607E-1,1.001244474E0
1.874098980E-1,6.407761574E-1,-2.527737617E-1,6.952183247E-1,9.786813462E-1
1.956148590E-1,3.795523643E-1,-4.477128983E-1,8.620914221E-1,1.042932623E0
2.038198210E-1,1.186404228E-1,-5.726227760E-1,1.172961593E0,1.310653002E0
2.120240900E-1,-2.061829567E-1,-5.175576210E-1,1.473020554E0,1.574854550E0
2.202289750E-1,-3.933401108E-1,-6.458053589E-1,1.632366657E0,1.799000252E0
2.284427440E-1,-6.458063126E-1,-6.154255867E-1,1.547575474E0,1.786282255E0
2.366473980E-1,-9.296383858E-1,-6.237983704E-1,1.308498383E0,1.722068510E0
2.448516670E-1,-8.686652184E-1,-6.895613670E-1,1.573132515E0,1.924790911E0
2.530576280E-1,-1.157551289E0,-5.416054726E-1,1.995281219E0,2.369474334E0
2.612640510E-1,-1.080070019E0,-4.134130478E-1,2.285485029E0,2.561426051E0
2.694861280E-1,-1.553116322E0,-4.357771873E-1,2.389610291E0,2.883107595E0
2.776923980E-1,-1.318350792E0,-6.116590500E-1,2.045689344E0,2.509386478E0
2.858990130E-1,-2.025271416E0,-1.245233536E0,1.195326090E0,2.661040272E0
2.941061280E-1,-7.364287376E-1,-5.467901230E-1,1.293369293E0,1.585594795E0
3.023117440E-1,9.202752113E-1,3.697881699E-1,1.176425695E0,1.538709580E0
3.105276280E-1,1.421772957E0,1.084742546E0,1.255485058E0,2.185028023E0
3.187316280E-1,1.806591034E0,1.487986088E0,1.583605051E0,2.825894322E0
3.269365510E-1,1.575347424E0,1.104595661E0,1.524362326E0,2.454695822E0
3.351409740E-1,1.009161472E0,3.728508949E-1,1.488456964E0,1.836553512E0
3.433453590E-1,1.138974190E0,-1.414608955E-1,1.696014881E0,2.047862268E0
3.515686280E-1,6.492304802E-1,-2.763996124E-1,1.446731567E0,1.609636353E0
3.597746660E-1,3.425722122E-1,-4.829654694E-1,8.901336193E-1,1.069088034E0
3.679809740E-1,8.377647400E-1,-7.753419876E-1,3.744492531E-1,1.201339752E0
3.761872430E-1,1.185263634E0,-8.960342407E-1,-4.934096336E-2,1.486661284E0
3.843935890E-1,8.578467369E-1,-5.314240456E-1,-7.615351677E-2,1.011984139E0
3.926102820E-1,9.342460632E-1,-4.674663544E-1,4.652791023E-1,1.143601829E0
4.008175890E-1,9.085750580E-1,-8.958182335E-1,1.600773573E0,2.047064966E0
4.090561660E-1,7.152571678E-1,-6.791558266E-1,2.533387184E0,2.718620253E0
4.172638590E-1,2.037606239E-1,-8.892917633E-2,2.617913961E0,2.627337112E0
4.254705510E-1,4.125847816E-1,-2.335596085E-1,2.246100187E0,2.295591938E0
4.336963590E-1,1.436376572E-2,-5.222811699E-1,1.457295656E0,1.548126147E0
4.419029740E-1,1.746058464E-1,-1.194252968E0,1.218091965E0,1.714781440E0
4.501085890E-1,4.813013077E-1,-1.946259975E0,1.244832993E0,2.359912715E0
4.583140890E-1,2.395849228E-1,-2.303820133E0,8.229949474E-1,2.458110824E0
4.665182430E-1,-3.355307579E-1,-2.259445667E0,1.057992220E0,2.517344464E0
4.747334350E-1,-1.417085648E0,-2.274137020E0,1.023404121E0,2.868307326E0
4.829404740E-1,-1.451572418E0,-2.882512569E0,1.114665508E0,3.414442911E0
4.911469740E-1,-1.493639946E0,-3.487025261E0,1.085497618E0,3.945707863E0
4.993542430E-1,-1.538178921E0,-4.173055649E0,1.343164206E0,4.645909806E0
5.075607430E-1,-1.231012821E0,-4.731794834E0,6.100304127E-1,4.927211384E0
5.157851270E-1,-1.164973259E0,-4.938635826E0,8.053886890E-1,5.137697681E0
5.239907040E-1,1.761393547E-1,-4.621111870E0,-9.513111115E-1,4.721302026E0
5.321957430E-1,4.940609932E-1,-4.563380241E0,-2.068452358E0,5.034583463E0
5.404006270E-1,1.328129768E-1,-5.144620895E0,-2.098363638E0,5.557687775E0
5.486048970E-1,-7.421936989E-1,-5.783586502E0,-1.496393919E0,6.019960056E0
5.568211270E-1,-1.790150881E0,-6.519352913E0,-1.245947242E0,6.874517227E0
5.650285500E-1,-2.608365297E0,-6.701828957E0,-1.551943064E0,7.357078779E0
5.732352810E-1,-3.292024612E0,-6.550488472E0,-2.481961727E0,7.739926310E0
5.814410890E-1,-3.413403749E0,-6.289124012E0,-3.369701385E0,7.909443307E0
5.896471660E-1,-2.816201448E0,-5.258087635E0,-3.776041508E0,7.059530129E0
5.978693580E-1,-1.575859547E0,-4.204853058E0,-3.458355427E0,5.667834225E0
6.060750500E-1,-1.375569105E0,-2.688251495E0,-2.078559399E0,3.665964490E0
6.142817040E-1,-1.711510420E0,-1.292399406E0,-6.684165597E-1,2.246407096E0
6.224865120E-1,-1.174491644E0,-4.555330276E-1,-4.744634032E-1,1.346126473E0
6.306921650E-1,-2.742686272E-1,-1.458368301E-1,-1.252031326E0,1.289989962E0
6.389075500E-1,2.002630234E-1,1.704597473E-2,-1.598616481E0,1.611201569E0
6.471117810E-1,4.856834412E-1,2.938728333E-1,-4.285165668E-1,7.112496714E-1
6.553487040E-1,1.780787468E0,6.607565880E0,9.486151695E0,1.169693143E1
6.635561270E-1,1.822045803E0,5.763698578E0,7.527187347E0,9.653943317E0
6.717636650E-1,1.446187973E0,1.564922333E0,-6.368601322E-2,2.131782697E0
6.799890500E-1,6.244349480E-1,2.320777893E0,-1.955154419E0,3.098153940E0
6.881979340E-1,2.709219456E0,3.559492111E0,-1.072534561E0,4.600020058E0
6.964081270E-1,3.476045847E0,3.880969048E0,-6.544622779E-1,5.251012888E0
7.046166270E-1,3.486516237E0,2.695251465E0,-8.120774031E-1,4.481031761E0
7.128245880E-1,3.090322733E0,-9.727478027E-2,-1.088107944E0,3.277733344E0
7.210418570E-1,2.453356266E0,-2.971748829E0,-9.799352288E-1,3.976244600E0
7.292478190E-1,1.329345226E0,-5.481539249E0,-1.694492698E0,5.889459803E0
7.374537040E-1,-5.467444658E-1,-7.023638248E0,-2.398730516E0,7.442065026E0
7.456596650E-1,-1.140912175E0,-7.846564293E0,-2.902455330E0,8.443606974E0
7.538665880E-1,-1.626548171E0,-8.029360771E0,-3.636018515E0,8.963086744E0
7.620885110E-1,-2.570491791E0,-7.484957695E0,-5.534686565E0,9.657368954E0
7.702930110E-1,-2.926710844E0,-6.700160980E0,-7.445434570E0,1.043514683E1
7.785002800E-1,-3.223497629E0,-4.983139038E0,-7.761820316E0,9.770796603E0
7.867083960E-1,-3.263587475E0,1.375823975E0,-7.062541008E0,7.900846809E0
7.949167800E-1,-2.632172108E-1,2.217873955E1,-1.639170837E1,2.757995422E1
8.031354340E-1,-6.377870440E-1,2.977993393E1,-2.186035919E1,3.694761888E1
8.113421260E-1,1.252881765E0,3.516635513E1,-1.689050484E1,3.903244035E1
8.195478960E-1,3.200825453E0,3.377705383E1,-1.039198399E1,3.548419339E1
8.277527030E-1,6.855094433E-1,2.748579025E1,-4.666275024E0,2.788750099E1
8.359575880E-1,-4.834810734E0,1.943008995E1,7.081950903E-1,2.003510246E1
8.441819340E-1,-1.639552498E1,1.208465958E1,4.291180801E1,4.750026846E1
8.523888950E-1,-1.248845673E1,2.826457977E0,3.405544281E1,3.638301253E1
8.605949340E-1,-3.951978207E0,3.080139160E-1,2.124932671E1,2.161589438E1
8.687995880E-1,-9.036770463E-1,-6.534729004E-1,1.275599289E1,1.280464813E1
8.770054720E-1,2.200839520E-1,-1.108885765E0,1.195095158E1,1.200430374E1
8.852207800E-1,8.199023008E-1,-1.437023163E0,1.131761742E1,1.143790800E1
8.934263570E-1,1.238812566E0,-2.220114231E0,8.180665016E0,8.566612159E0
9.016622800E-1,2.190810442E0,-3.574747562E0,5.072277069E0,6.580764788E0
9.098672030E-1,2.452198505E0,-4.951817036E0,3.295908928E0,6.434033348E0
9.180733570E-1,2.318019867E0,-6.231867790E0,2.178755522E0,6.996882726E0
9.262948180E-1,2.009616613E0,-7.340109348E0,1.420073628E0,7.741600176E0
9.345007030E-1,1.964344025E0,-8.010516167E0,1.319849849E0,8.352785184E0
9.427062030E-1,1.912684798E0,-8.590044975E0,1.356001377E0,8.904267266E0
9.509119330E-1,1.696043015E0,-9.040273666E0,9.960427284E-1,9.251767992E0
9.591176640E-1,1.542732954E0,-9.775546074E0,4.420487881E-1,9.906398596E0
9.673330100E-1,1.865177870E0,-1.064973068E1,6.817981005E-1,1.083330516E1
9.755413180E-1,2.745108604E0,-1.121947575E1,3.122341871E0,1.196500213E1
9.837485490E-1,6.670010567E0,-1.273611927E1,1.245407677E1,1.902108838E1
9.919562410E-1,7.734936714E0,-1.258787823E1,8.118818283E0,1.685820674E1
1.000162549E0,4.401903152E0,-1.101314545E1,3.138368130E-1,1.186442656E1
1.008387164E0,2.360854626E0,-9.709601402E0,-2.913531303E0,1.040858581E1
1.016595087E0,1.832237959E0,-8.560153008E0,-4.225585938E0,9.720539695E0
1.024804125E0,2.194666862E0,-7.255955219E0,-5.639278412E0,9.448116732E0
1.033012164E0,2.764392138E0,-4.657562256E0,-3.491737604E0,6.444143198E0
1.041217202E0,1.319597960E0,3.977257729E0,1.425947952E1,1.486245855E1
1.049432625E0,4.597758651E-1,1.433462429E1,1.317091560E1,1.947218183E1
1.057639241E0,2.143319845E0,3.416181946E1,1.286185741E1,3.656570941E1
1.065845318E0,3.338479757E0,5.168582153E1,-4.406183958E-1,5.179540268E1
1.074051510E0,7.764815092E-1,5.341232300E1,-1.114500880E0,5.342959184E1
1.082256279E0,-5.958078861E0,4.302685547E1,-1.420791149E-1,4.343764706E1
1.090489125E0,-7.528964996E0,2.626228714E1,-2.343477488E0,2.742052017E1
1.098695164E0,-3.899823904E0,1.598233223E1,-1.130993724E0,1.649007934E1
1.106902125E0,1.539365888E0,1.042586040E1,7.220551968E-1,1.056359675E1
1.115109971E0,5.787535667E0,6.928165436E0,1.508556962E0,9.152638391E0
1.123316510E0,5.642342567E0,5.128389359E0,-4.384028912E-2,7.624849443E0
1.131533933E0,3.783781052E0,4.224035263E0,-2.582258224E0,6.231174086E0
1.139741048E0,2.323247433E0,2.752489090E0,-6.208929062E0,7.178055093E0
1.147977856E0,8.777110577E-1,1.222368240E0,-8.585726738E0,8.716608540E0
1.156184125E0,-1.595790505E0,-5.838909149E-1,-8.136341095E0,8.311890420E0
1.164390856E0,-4.051562309E0,-2.334455967E0,-6.749656677E0,8.211133117E0
1.172615586E0,-6.817619801E0,-4.278436661E0,-4.496789455E0,9.219873937E0
