"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.129123700E-2,2.642407417E-1,-5.121505260E-2,2.275881767E-1,3.524805376E-1
2.951677600E-2,3.029246330E-1,-1.443409920E-2,8.016586304E-2,3.136849408E-1
3.772293000E-2,3.038511276E-1,9.670138359E-3,-1.181797981E-1,3.261678771E-1
4.592866000E-2,2.324705124E-1,-4.846811295E-3,-2.160511017E-1,3.174021255E-1
5.413543000E-2,1.778655052E-1,-2.975308895E-2,-1.728329659E-1,2.497851443E-1
6.234100600E-2,9.203815460E-2,-5.186450481E-2,-6.450986862E-2,1.237839728E-1
7.057627600E-2,7.328414917E-2,-5.616712570E-2,4.764938354E-2,1.039027251E-1
7.878319900E-2,5.451011658E-2,-5.607604980E-3,8.556604385E-2,1.016087885E-1
8.698758300E-2,8.118104935E-2,1.350760460E-3,6.595754623E-2,1.046068126E-1
9.519227600E-2,1.174316406E-1,3.445661068E-2,5.109310150E-2,1.326195810E-1
1.033993140E-1,1.639246941E-1,-4.592061043E-3,3.851890564E-2,1.684520657E-1
1.116418140E-1,1.620783806E-1,-2.358114719E-2,2.979087830E-2,1.664721250E-1
1.198473910E-1,1.408419609E-1,-2.926957607E-2,3.364276886E-2,1.477328736E-1
1.280529290E-1,1.362147331E-1,-3.844213486E-2,5.508995056E-2,1.518787474E-1
1.362899290E-1,7.404661179E-2,-1.984834671E-3,7.427024841E-2,1.048947572E-1
1.444960060E-1,8.368015289E-2,-1.556396484E-3,6.232690811E-2,1.043524501E-1
1.527358140E-1,8.618402481E-2,8.815526962E-4,6.699514389E-2,1.091641542E-1
1.609420450E-1,7.674360275E-2,-1.219034195E-3,5.731916428E-2,9.579432760E-2
1.691482370E-1,8.884716034E-2,-3.432869911E-2,6.922435760E-2,1.177467162E-1
1.773606600E-1,7.922458649E-2,-5.066454411E-2,7.416534424E-2,1.197661447E-1
1.855663910E-1,7.670736313E-2,-4.289603233E-2,8.881473541E-2,1.249485749E-1
1.938066980E-1,9.098577499E-2,-4.475688934E-2,1.201653481E-1,1.572300902E-1
2.020126210E-1,1.100077629E-1,-2.526724339E-2,1.036429405E-1,1.532383784E-1
2.102188140E-1,1.100482941E-1,-3.001320362E-2,9.163188934E-2,1.463141229E-1
2.184318140E-1,1.388058662E-1,-2.995228767E-2,6.527757645E-2,1.562861799E-1
2.266396210E-1,1.028733253E-1,-4.427552223E-2,6.052398682E-2,1.273043437E-1
2.348822750E-1,9.448289871E-2,-4.286682606E-2,6.691932678E-2,1.234616508E-1
2.430899670E-1,8.690690994E-2,-2.385234833E-2,5.539178848E-2,1.057827762E-1
2.512986980E-1,7.925987244E-2,-3.351676464E-2,6.071949005E-2,1.053202609E-1
2.595094290E-1,1.101160049E-1,-3.126204014E-2,4.425382614E-2,1.227242878E-1
2.677172750E-1,1.014113426E-1,-2.961874008E-2,3.959321976E-2,1.128235491E-1
2.759596590E-1,1.012969017E-1,-2.491199970E-2,4.689645767E-2,1.143719711E-1
2.841668520E-1,1.155934334E-1,-3.692078590E-2,3.739452362E-2,1.269777015E-1
