"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-4.581489414E-2,-1.050688252E-1,4.886921961E-3,1.147272616E-1
5.070193000E-3,-3.604105115E-2,-1.014036313E-1,4.276056774E-3,1.077030105E-1
6.894692000E-3,-3.604105115E-2,-1.038470939E-1,3.665191587E-3,1.099845894E-1
9.122078000E-3,-3.237585723E-2,-1.026253626E-1,5.497787148E-3,1.077515050E-1
1.096007700E-2,-3.237585723E-2,-1.044579595E-1,5.497787148E-3,1.094983429E-1
1.324380900E-2,-3.115412779E-2,-1.050688252E-1,6.108652335E-3,1.097604361E-1
1.508746200E-2,-3.115412779E-2,-1.069014147E-1,3.665191587E-3,1.114088227E-1
1.728334700E-2,-3.176499158E-2,-1.062905490E-1,9.773843922E-3,1.113652708E-1
1.918315400E-2,-3.054326214E-2,-1.056796908E-1,8.552113548E-3,1.103368776E-1
2.151492400E-2,-3.176499158E-2,-1.056796908E-1,7.330383174E-3,1.105936086E-1
2.354115400E-2,-2.932153270E-2,-1.007927656E-1,7.330383174E-3,1.052267475E-1
2.546815500E-2,-3.237585723E-2,-9.773843735E-2,7.330383174E-3,1.032217651E-1
2.735323100E-2,-3.359758854E-2,-9.224065393E-2,8.552113548E-3,9.854072681E-2
2.965130900E-2,-3.237585723E-2,-8.246681094E-2,9.162978269E-3,8.906700404E-2
3.152453900E-2,-3.726277873E-2,-7.513642311E-2,1.038470957E-2,8.450940154E-2
3.364338500E-2,-3.665191308E-2,-6.414084882E-2,9.773843922E-3,7.451804643E-2
3.554319200E-2,-3.726277873E-2,-5.742133409E-2,1.038470957E-2,6.923558680E-2
3.781369300E-2,-3.665191308E-2,-4.764748737E-2,1.160643995E-2,6.122381263E-2
3.964661600E-2,-3.970624134E-2,-3.665191308E-2,1.343903504E-2,5.568263640E-2
4.191584700E-2,-3.909537569E-2,-2.565634064E-2,1.343903504E-2,4.865494711E-2
4.391100100E-2,-4.092797264E-2,-2.138028294E-2,1.343903504E-2,4.809181954E-2
4.597811600E-2,-3.970624134E-2,-1.527163107E-2,1.466076635E-2,4.499718199E-2
4.779334600E-2,-3.970624134E-2,-1.343903504E-2,1.710422710E-2,4.527414106E-2
5.002915500E-2,-4.031710699E-2,-9.773843922E-3,1.466076635E-2,4.399926376E-2
5.189900000E-2,-4.092797264E-2,-3.665191587E-3,1.649336144E-2,4.427825139E-2
5.415038500E-2,-4.276056588E-2,0.000000000E0,1.282817032E-2,4.464334159E-2
5.606026900E-2,-4.092797264E-2,9.162978269E-3,1.038470957E-2,4.320765336E-2
5.818900100E-2,-4.031710699E-2,1.221730467E-2,1.038470957E-2,4.338863725E-2
6.008461500E-2,-4.092797264E-2,1.771509275E-2,9.773843922E-3,4.565579351E-2
6.240388500E-2,-4.031710699E-2,2.199114859E-2,1.160643995E-2,4.736865188E-2
6.444296200E-2,-3.726277873E-2,2.809980139E-2,1.099557430E-2,4.794805701E-2
6.635550100E-2,-3.665191308E-2,2.932153270E-2,1.282817032E-2,4.865878097E-2
6.825192300E-2,-3.237585723E-2,2.932153270E-2,1.466076635E-2,4.607479225E-2
7.053846200E-2,-3.298672289E-2,3.543018550E-2,1.649336144E-2,5.114149883E-2
7.231303900E-2,-3.054326214E-2,3.543018550E-2,1.466076635E-2,4.902169904E-2
7.452984700E-2,-2.993239649E-2,3.726277873E-2,1.099557430E-2,4.904452765E-2
7.642719200E-2,-3.054326214E-2,3.909537569E-2,4.276056774E-3,4.979582235E-2
7.870065500E-2,-2.687807009E-2,5.070181563E-2,-1.527163107E-2,5.938288875E-2
8.052273100E-2,-2.809980139E-2,5.436700583E-2,-2.199114859E-2,6.503061415E-2
8.280203900E-2,-3.420845419E-2,6.108652428E-2,-3.054326214E-2,7.638502896E-2
8.479815400E-2,-3.726277873E-2,6.475171447E-2,-3.237585723E-2,8.142171293E-2
8.688057800E-2,-3.909537569E-2,6.047565863E-2,-3.481931984E-2,7.998836616E-2
8.870373100E-2,-4.214970022E-2,5.681046844E-2,-3.176499158E-2,7.754380209E-2
9.093196200E-2,-4.642575979E-2,5.436700583E-2,-2.565634064E-2,7.595637109E-2
9.277815400E-2,-4.948008433E-2,4.642575979E-2,-1.954768784E-2,7.060978698E-2
9.505330800E-2,-5.314527452E-2,4.520402849E-2,-1.771509275E-2,7.198367111E-2
9.690526900E-2,-5.742133409E-2,3.787364438E-2,-1.160643995E-2,6.975909973E-2
9.909192400E-2,-5.742133409E-2,2.748893574E-2,-7.330383174E-3,6.408264753E-2
1.009918080E-1,-5.925392732E-2,1.282817032E-2,-5.497787148E-3,6.087540982E-2
1.033075770E-1,-5.681046844E-2,6.719517522E-3,-2.443460980E-3,5.725863901E-2
1.053453850E-1,-5.803219974E-2,-7.330383174E-3,-3.665191587E-3,5.860805707E-2
1.072589240E-1,-5.803219974E-2,-1.832595654E-2,-4.276056774E-3,6.100706149E-2
1.091592310E-1,-5.436700583E-2,-2.687807009E-2,-6.108652335E-3,6.095504579E-2
1.114408850E-1,-5.375614017E-2,-3.848451003E-2,-1.282817032E-2,6.734494838E-2
1.132047310E-1,-5.070181563E-2,-4.642575979E-2,-1.588249579E-2,7.055691995E-2
1.154322700E-1,-5.070181563E-2,-5.742133409E-2,-2.626720630E-2,8.098055226E-2
1.173234230E-1,-5.314527452E-2,-6.047565863E-2,-3.054326214E-2,8.610816658E-2
1.196020770E-1,-5.314527452E-2,-6.475171447E-2,-3.787364438E-2,9.193268009E-2
1.214428850E-1,-5.497787148E-2,-6.841690838E-2,-4.581489414E-2,9.900729382E-2
1.237036930E-1,-5.803219974E-2,-7.391469181E-2,-5.436700583E-2,1.085674408E-1
1.256755390E-1,-5.986479297E-2,-7.452555746E-2,-5.925392732E-2,1.124672399E-1
1.277453080E-1,-6.414084882E-2,-7.696902007E-2,-6.475171447E-2,1.192940194E-1
1.295756920E-1,-7.269296050E-2,-8.796459436E-2,-7.391469181E-2,1.359610901E-1
1.317967310E-1,-7.880161703E-2,-8.979719132E-2,-7.757988572E-2,1.424495317E-1
1.336423080E-1,-8.307767659E-2,-9.651670605E-2,-8.307767659E-2,1.520502392E-1
1.359188080E-1,-9.224065393E-2,-1.136209369E-1,-9.101892263E-2,1.723441319E-1
1.378258080E-1,-9.834930301E-2,-1.325577646E-1,-9.651670605E-2,1.912057032E-1
1.399584620E-1,-1.001819000E-1,-1.484402567E-1,-9.957103431E-2,2.049031814E-1
