"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.235467200E-2,1.107873917E-1,1.943862438E-2,9.487724304E-2,1.471509345E-1
2.062663400E-2,1.052856445E-1,1.558160782E-2,3.053965569E-1,3.234113640E-1
2.883444100E-2,-1.549720764E-3,4.509997368E-2,3.960371017E-1,3.985997933E-1
3.704224900E-2,-4.689216614E-2,8.032906055E-2,3.642950058E-1,3.759820268E-1
4.527417200E-2,-3.240156174E-2,1.243687868E-1,2.376070023E-1,2.701380089E-1
5.348128700E-2,-1.241683960E-2,1.471225023E-1,1.007714272E-1,1.787570673E-1
6.169582600E-2,1.670837402E-3,1.468195915E-1,2.844142914E-2,1.495583466E-1
6.990448000E-2,7.208538055E-2,1.029055119E-1,2.556324005E-2,1.282159339E-1
7.811363300E-2,6.385421753E-2,7.892858982E-2,6.441068649E-2,1.202323580E-1
8.634617200E-2,9.418153763E-2,5.809044838E-2,9.512710571E-2,1.459240503E-1
9.455305600E-2,1.263337135E-1,3.431892395E-2,1.487879753E-1,1.981813748E-1
1.028008640E-1,1.491680145E-1,1.792073250E-3,1.656746864E-1,2.229403728E-1
1.110075180E-1,1.453461647E-1,1.797080040E-2,1.716814041E-1,2.256611659E-1
1.192150560E-1,1.433243752E-1,4.281544685E-2,1.518306732E-1,2.131374963E-1
1.274465180E-1,1.257553101E-1,5.316269398E-2,1.573648453E-1,2.083371416E-1
1.356529790E-1,1.219568253E-1,3.384006023E-2,1.564378738E-1,2.012248128E-1
1.438918640E-1,9.803056717E-2,3.173315525E-2,1.467814445E-1,1.793370506E-1
1.520977870E-1,7.878971100E-2,2.008390427E-2,9.653234482E-2,1.262128178E-1
1.603029790E-1,6.484508514E-2,7.687926292E-3,7.642269135E-2,1.005207294E-1
1.685335560E-1,5.459976196E-2,1.301062107E-2,7.226800919E-2,9.150451037E-2
1.767396330E-1,4.900693893E-2,3.301286697E-2,7.298564911E-2,9.390651961E-2
