"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.278273700E-2,2.768516541E-2,3.664731979E-2,-5.846500397E-3,4.629984880E-2
3.099219800E-2,2.043471336E-1,2.007246017E-2,9.663152695E-2,2.269323835E-1
3.920162100E-2,3.696265221E-1,-3.716135025E-2,1.640216112E-1,4.060884395E-1
4.741069800E-2,3.935666084E-1,-7.128000259E-2,1.748209000E-1,4.365064273E-1
5.562716000E-2,2.228627205E-1,-1.343016624E-1,2.573472261E-1,3.659676537E-1
6.383581400E-2,1.335401535E-1,-1.910967827E-1,4.696359634E-1,5.243175480E-1
7.209935200E-2,1.082806587E-1,-2.136545181E-1,6.181534529E-1,6.629378896E-1
8.031669800E-2,-7.044887543E-2,-1.489253044E-1,7.599550486E-1,7.776075271E-1
8.852492900E-2,-6.929922104E-2,-2.011442184E-1,9.323521852E-1,9.563168805E-1
9.674031300E-2,-5.374908447E-3,-2.849636078E-1,9.498127699E-1,9.916538939E-1
1.049482360E-1,-2.915668488E-2,-3.544983864E-1,8.753672838E-1,9.448741185E-1
1.132120060E-1,-9.991931915E-2,-3.804841042E-1,8.364048004E-1,9.242970378E-1
1.214260830E-1,-1.225590706E-1,-3.872141838E-1,8.498126864E-1,9.418795846E-1
1.296328130E-1,-1.142764091E-1,-3.937406540E-1,7.902845740E-1,8.903036045E-1
1.378529290E-1,-5.986309052E-2,-3.878464699E-1,5.578073263E-1,6.820245502E-1
1.460608130E-1,-9.287834167E-3,-3.829054832E-1,3.491331935E-1,5.182633112E-1
1.542920050E-1,-9.768009186E-3,-3.507795334E-1,7.330605388E-2,3.584905474E-1
1.625146980E-1,4.357862473E-2,-3.058543205E-1,-8.783186972E-2,3.211859263E-1
1.707233130E-1,8.296680450E-2,-2.224497795E-1,-1.131201833E-1,2.629896784E-1
1.789451980E-1,-3.950548172E-2,-8.822965622E-2,9.871683270E-2,1.381671755E-1
1.871543130E-1,-1.980390549E-1,3.787088394E-2,1.158672869E-1,2.325487030E-1
1.953631980E-1,-2.225341797E-1,2.528538704E-1,-1.147919223E-1,3.558563282E-1
2.035870820E-1,-3.456826210E-1,3.497409821E-1,-2.234638929E-1,5.401401119E-1
2.117967740E-1,-3.158888817E-1,3.082590103E-1,1.399360597E-2,4.415939583E-1
2.200178510E-1,-4.033470154E-2,2.815742493E-1,2.481339127E-2,2.855287208E-1
2.282268510E-1,-1.516108513E-1,1.974139214E-1,-2.296960652E-1,3.387010318E-1
2.364566210E-1,-2.431201935E-2,6.685733795E-2,-4.572752714E-1,4.627760277E-1
2.446786590E-1,1.771783829E-2,-1.268444061E-1,-7.064148784E-1,7.179313376E-1
2.528869280E-1,-1.497778893E-1,-2.389397621E-1,-7.927656174E-1,8.414291118E-1
2.610974670E-1,-2.224144936E-1,-2.227721214E-1,-6.717588902E-1,7.418595767E-1
2.693061970E-1,-1.126108170E-1,-1.767950058E-1,-5.714092255E-1,6.086428946E-1
2.775386970E-1,-1.000585556E-1,1.140689850E-2,-4.169900417E-1,4.289784689E-1
2.857606590E-1,-2.526187897E-2,1.439108849E-1,-2.848980427E-1,3.201802618E-1
2.939689660E-1,4.314041138E-2,1.105499268E-1,-2.315152287E-1,2.601570344E-1
3.021880430E-1,3.013057709E-1,2.154121399E-1,-4.748548865E-1,6.022248092E-1
3.103964660E-1,6.187953949E-1,2.478070259E-1,-4.111837745E-1,7.831910107E-1
3.186382740E-1,9.797506332E-1,2.955284119E-1,-2.489487529E-1,1.053196956E0
3.268630820E-1,1.241056919E0,3.532605171E-1,-3.058701754E-2,1.290717179E0
3.350732740E-1,1.467838287E0,3.196043968E-1,2.178361416E-1,1.517942289E0
3.432951200E-1,1.778674603E0,3.511567116E-1,1.523150206E-1,1.819393922E0
3.515061590E-1,2.076869011E0,3.247785568E-1,8.750087023E-2,2.103930227E0
3.597475430E-1,2.300730705E0,4.578061104E-1,1.509140730E-1,2.350685702E0
3.679575820E-1,2.409769058E0,8.893280029E-1,4.875066280E-1,2.614489228E0
3.761686970E-1,2.345520973E0,1.167942524E0,6.313197613E-1,2.695203706E0
3.843791200E-1,2.169302464E0,1.217917442E0,5.769506097E-1,2.553833996E0
3.925895810E-1,2.008319855E0,1.345317841E0,7.626656294E-1,2.534736198E0
4.008190050E-1,1.929826260E0,1.465986252E0,8.777288795E-1,2.577547879E0
4.090282350E-1,1.717935562E0,1.518515587E0,1.006112218E0,2.503887773E0
4.172385430E-1,1.873395920E0,1.334953308E0,9.259926081E-1,2.479752995E0
4.254481970E-1,1.426732540E0,1.365997791E0,6.462098360E-1,2.078245139E0
