"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.893039000E-3,-3.316998184E-1,-1.600466967E-1,-8.674286306E-2,3.783702405E-1
8.276253000E-3,-3.207042515E-1,-2.015855312E-1,-7.880161703E-2,3.869077903E-1
1.001765400E-2,-3.042109013E-1,-2.425135076E-1,-6.902777404E-2,3.951226486E-1
1.237833000E-2,-2.974913716E-1,-2.626720667E-1,-6.658431143E-2,4.024067611E-1
1.424542300E-2,-2.803871334E-1,-3.036000133E-1,-5.742133409E-2,4.172374890E-1
1.648517600E-2,-2.608394623E-1,-3.402519524E-1,-5.253441259E-2,4.319357368E-1
1.842546200E-2,-2.419026345E-1,-3.775147200E-1,-4.764748737E-2,4.508930377E-1
2.057275300E-2,-2.321287990E-1,-3.933972120E-1,-4.398229718E-2,4.588895163E-1
2.235303900E-2,-2.107485086E-1,-4.251621962E-1,-3.970624134E-2,4.761873712E-1
2.469533000E-2,-1.875356287E-1,-4.526511431E-1,-3.726277873E-2,4.913768249E-1
2.645434600E-2,-1.679879427E-1,-4.764748812E-1,-3.909537569E-2,5.067313980E-1
2.873409900E-2,-1.576032341E-1,-4.880813360E-1,-3.909537569E-2,5.143837268E-1
3.060276900E-2,-1.350012124E-1,-5.045747161E-1,-3.787364438E-2,5.236939797E-1
3.294948400E-2,-1.172861308E-1,-5.222898126E-1,-4.214970022E-2,5.369537057E-1
3.474573100E-2,-1.093448773E-1,-5.296201706E-1,-4.398229718E-2,5.425755890E-1
3.695129200E-2,-9.590584040E-2,-5.369505286E-1,-4.520402849E-2,5.473181932E-1
3.897565400E-2,-8.491026610E-2,-5.448917747E-1,-5.070181563E-2,5.537937102E-1
4.116929200E-2,-7.819075137E-2,-5.473352671E-1,-5.436700583E-2,5.555586913E-1
4.286596200E-2,-7.269296050E-2,-5.503895879E-1,-5.803219974E-2,5.581941429E-1
4.516052200E-2,-7.024950534E-2,-5.491678715E-1,-6.536258012E-2,5.574877675E-1
4.719575300E-2,-6.658431143E-2,-5.479460955E-1,-7.147123665E-2,5.565847031E-1
4.929175300E-2,-6.291911751E-2,-5.412266254E-1,-7.574728876E-2,5.501115589E-1
5.102011600E-2,-6.475171447E-2,-5.363397002E-1,-7.757988572E-2,5.457762337E-1
5.335859900E-2,-5.681046844E-2,-5.314527750E-1,-8.796459436E-2,5.416707960E-1
5.525073100E-2,-5.375614017E-2,-5.241223574E-1,-8.613199741E-2,5.338657969E-1
5.746606100E-2,-4.581489414E-2,-5.241223574E-1,-8.918632567E-2,5.336266960E-1
5.925823100E-2,-4.031710699E-2,-5.180137157E-1,-8.979719132E-2,5.272828599E-1
6.155190700E-2,-3.054326214E-2,-5.143485069E-1,-9.040805697E-2,5.231260787E-1
6.332061600E-2,-2.504547499E-2,-5.082398653E-1,-9.224065393E-2,5.171492770E-1
6.567379200E-2,-2.015855350E-2,-5.021312237E-1,-8.918632567E-2,5.103884146E-1
6.741596200E-2,-1.832595654E-2,-4.905247986E-1,-8.796459436E-2,4.986864632E-1
6.971348400E-2,-1.588249579E-2,-4.667010605E-1,-8.613199741E-2,4.748482437E-1
7.153138500E-2,-1.771509275E-2,-4.404338300E-1,-8.613199741E-2,4.491263788E-1
7.392894500E-2,-2.015855350E-2,-4.251621962E-1,-8.735372871E-2,4.345111440E-1
7.580607700E-2,-2.504547499E-2,-3.909537494E-1,-8.796459436E-2,4.015095016E-1
7.793706100E-2,-3.115412779E-2,-3.567453027E-1,-9.040805697E-2,3.693391496E-1
7.979953900E-2,-3.543018550E-2,-3.408628106E-1,-9.285151958E-2,3.550551484E-1
8.215336800E-2,-3.909537569E-2,-3.084869385E-1,-9.590584040E-2,3.254083125E-1
8.386538500E-2,-4.581489414E-2,-2.785545588E-1,-9.773843735E-2,2.987380941E-1
8.614309900E-2,-5.131268129E-2,-2.547308207E-1,-1.020144969E-1,2.791554045E-1
8.797096200E-2,-5.375614017E-2,-2.425135076E-1,-1.038470939E-1,2.692336214E-1
9.031609900E-2,-5.558873713E-2,-2.235766798E-1,-1.087340117E-1,2.547542438E-1
9.206488500E-2,-6.047565863E-2,-2.046398520E-1,-1.148426682E-1,2.423295540E-1
9.441648400E-2,-6.230825558E-2,-1.869247705E-1,-1.203404516E-1,2.308787838E-1
9.631030800E-2,-6.108652428E-2,-1.759291887E-1,-1.221730486E-1,2.227305473E-1
9.852117600E-2,-6.230825558E-2,-1.600466967E-1,-1.240056455E-1,2.118364085E-1
1.003070000E-1,-6.291911751E-2,-1.441642046E-1,-1.233947799E-1,1.999209967E-1
1.026063680E-1,-5.986479297E-2,-1.368338168E-1,-1.209513173E-1,1.921887301E-1
1.043941920E-1,-6.169738993E-2,-1.362229437E-1,-1.221730486E-1,1.931049251E-1
1.067285220E-1,-5.742133409E-2,-1.325577646E-1,-1.227839142E-1,1.895907703E-1
1.084921540E-1,-5.803219974E-2,-1.343903542E-1,-1.313360333E-1,1.966663600E-1
1.107662140E-1,-5.803219974E-2,-1.331686229E-1,-1.325577646E-1,1.966549752E-1
1.126022310E-1,-5.925392732E-2,-1.319468915E-1,-1.398881376E-1,2.012205286E-1
1.149804840E-1,-6.108652428E-2,-1.307251602E-1,-1.453859210E-1,2.048357806E-1
1.167880000E-1,-6.597344577E-2,-1.288925707E-1,-1.551597714E-1,2.122271072E-1
1.189808680E-1,-6.536258012E-2,-1.325577646E-1,-1.606575549E-1,2.182995139E-1
1.208385390E-1,-6.597344577E-2,-1.319468915E-1,-1.673770845E-1,2.231088661E-1
