"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.853607000E-3,-2.024726868E-1,5.541839600E-1,9.410889149E-1,1.110749025E0
1.206514500E-2,-2.797813416E-1,5.701136589E-1,1.189415932E0,1.348338771E0
2.029118400E-2,-1.727228165E-1,5.090341568E-1,1.305001974E0,1.411374896E0
2.850514500E-2,-1.945037842E-1,5.255217552E-1,1.269139290E0,1.387342558E0
3.671279900E-2,-3.633937836E-1,4.924588203E-1,1.101450682E0,1.260065211E0
4.492145300E-2,-1.760616302E-1,3.568902016E-1,1.079350471E0,1.150376353E0
5.313068300E-2,-1.359758377E-1,2.025690079E-1,1.190659046E0,1.215398122E0
6.134668300E-2,-1.519665718E-1,1.249828339E-1,1.173459530E0,1.189841089E0
6.955368300E-2,-9.768390656E-2,7.450342178E-2,1.064657927E0,1.071722635E0
7.776187600E-2,-1.830420494E-1,1.432719231E-1,9.912736416E-1,1.018162398E0
8.596887600E-2,-3.331127167E-1,1.726479530E-1,9.209830761E-1,9.944753512E-1
9.417656800E-2,-2.559900284E-1,2.821936607E-1,1.080396414E0,1.145609256E0
1.024005290E-1,-2.001442909E-1,2.854433060E-1,1.257242680E0,1.304681867E0
1.106137220E-1,-1.681408882E-1,3.193273544E-1,1.565414429E0,1.606475537E0
1.188205290E-1,-1.323275566E-1,2.584776878E-1,1.643996954E0,1.669445202E0
1.270273750E-1,-1.186003685E-1,3.310532570E-1,1.609380960E0,1.647352234E0
1.352355290E-1,4.826402664E-2,2.367291451E-1,1.545718431E0,1.564485722E0
1.434506830E-1,3.475618362E-2,2.140522003E-2,1.496239662E0,1.496796346E0
1.516583370E-1,1.341452599E-1,1.190977097E-1,1.581123829E0,1.591267349E0
1.598682220E-1,8.727025986E-2,5.127096176E-2,1.422240257E0,1.425837354E0
1.680756450E-1,1.201643944E-1,-7.362842560E-2,1.113656521E0,1.122537961E0
1.762831450E-1,1.347579956E-1,-1.662383080E-1,9.363484383E-1,9.604911714E-1
1.845068750E-1,1.160788536E-1,-3.180217743E-1,9.340071678E-1,9.934694453E-1
1.927223370E-1,-4.696846008E-2,-2.685971260E-1,9.906196594E-1,1.027461806E0
2.009304520E-1,-2.825055122E-1,-1.116251945E-1,9.533171654E-1,1.000541437E0
2.091391060E-1,-4.098987579E-1,7.228660583E-2,8.561587334E-1,9.519717022E-1
2.173491060E-1,-6.636667252E-2,-1.886544228E-1,8.056998253E-1,8.301489233E-1
2.255673370E-1,4.847860336E-2,-5.899658203E-1,5.864238739E-1,8.332483447E-1
2.337764140E-1,-3.061318398E-1,-9.789886475E-1,4.922604561E-1,1.137741549E0
