"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.583983000E-3,3.665191587E-3,1.227839142E-1,-1.808161139E-1,2.185950372E-1
6.379538000E-3,-7.330383174E-3,1.093448773E-1,-1.649336219E-1,1.980230702E-1
8.827137000E-3,-1.588249579E-2,9.346238524E-2,-1.539380401E-1,1.807882500E-1
1.067673100E-2,-2.565634064E-2,7.391469181E-2,-1.417207420E-1,1.618839034E-1
1.284221400E-2,-3.115412779E-2,6.414084882E-2,-1.343903542E-1,1.521361083E-1
1.467984600E-2,-3.848451003E-2,5.009094998E-2,-1.252273768E-1,1.402571092E-1
1.706183000E-2,-4.764748737E-2,3.481931984E-2,-1.136209369E-1,1.280327512E-1
1.874646100E-2,-5.803219974E-2,2.138028294E-2,-1.050688252E-1,1.219192796E-1
2.105367600E-2,-6.475171447E-2,1.771509275E-2,-9.896016866E-2,1.195814535E-1
2.296761500E-2,-7.147123665E-2,7.330383174E-3,-9.040805697E-2,1.154793876E-1
2.522736800E-2,-7.757988572E-2,-2.443460980E-3,-8.124507964E-2,1.123626812E-1
2.706788400E-2,-8.185594529E-2,-5.497787148E-3,-7.757988572E-2,1.129126216E-1
2.933036800E-2,-8.613199741E-2,-1.282817032E-2,-7.330382615E-2,1.138276498E-1
3.121015400E-2,-8.674286306E-2,-1.954768784E-2,-6.352998316E-2,1.092817238E-1
3.343671400E-2,-8.491026610E-2,-2.321287990E-2,-5.558873713E-2,1.041090715E-1
3.520665400E-2,-8.185594529E-2,-2.871066704E-2,-5.131268129E-2,1.007853632E-1
3.752382900E-2,-8.307767659E-2,-4.031710699E-2,-4.276056588E-2,1.017636254E-1
3.934084600E-2,-7.941248268E-2,-5.558873713E-2,-3.909537569E-2,1.045222393E-1
4.164732900E-2,-7.391469181E-2,-7.208210230E-2,-3.359758854E-2,1.085725983E-1
4.339084600E-2,-7.452555746E-2,-7.941248268E-2,-2.809980139E-2,1.124722186E-1
4.568767600E-2,-6.780604273E-2,-8.857546002E-2,-2.076941915E-2,1.134664722E-1
4.751476900E-2,-6.536258012E-2,-9.712757170E-2,-1.404990070E-2,1.179128143E-1
4.990494500E-2,-5.803219974E-2,-9.712757170E-2,-7.330383174E-3,1.133809327E-1
5.177230700E-2,-5.375614017E-2,-9.712757170E-2,-3.054326167E-3,1.110532156E-1
5.391163700E-2,-4.886921868E-2,-1.026253626E-1,1.832595794E-3,1.136816783E-1
5.580507700E-2,-4.153883830E-2,-1.044579595E-1,4.886921961E-3,1.125203200E-1
5.812971400E-2,-3.543018550E-2,-1.069014147E-1,4.276056774E-3,1.127009102E-1
5.982400000E-2,-3.115412779E-2,-1.032362282E-1,4.276056774E-3,1.079193364E-1
6.212217600E-2,-2.382374369E-2,-9.896016866E-2,5.497787148E-3,1.019358200E-1
6.398019200E-2,-1.649336144E-2,-9.468411654E-2,4.886921961E-3,9.623406311E-2
6.629379100E-2,-1.221730467E-2,-9.346238524E-2,2.443460980E-3,9.428918543E-2
6.804511500E-2,-7.330383174E-3,-9.224065393E-2,6.108652451E-4,9.253348535E-2
7.039721400E-2,-3.054326167E-3,-8.918632567E-2,-3.665191587E-3,8.931384677E-2
7.233688400E-2,1.832595794E-3,-8.796459436E-2,-7.941247895E-3,8.834133623E-2
7.451090600E-2,4.276056774E-3,-8.613199741E-2,-1.038470957E-2,8.686108353E-2
7.629169200E-2,1.466076635E-2,-8.246681094E-2,-1.221730467E-2,8.464617836E-2
7.859871400E-2,1.771509275E-2,-7.819075137E-2,-1.954768784E-2,8.252108950E-2
8.037580700E-2,2.565634064E-2,-7.086037099E-2,-2.443460934E-2,7.922430262E-2
8.272217500E-2,2.932153270E-2,-6.963863969E-2,-2.687807009E-2,8.019802410E-2
8.447830700E-2,3.604105115E-2,-6.169738993E-2,-3.115412779E-2,7.794937441E-2
8.676252200E-2,4.153883830E-2,-5.803219974E-2,-3.481931984E-2,7.940778506E-2
8.858153800E-2,4.337143153E-2,-5.619960278E-2,-3.848451003E-2,8.074982315E-2
9.097990600E-2,5.131268129E-2,-4.764748737E-2,-3.909537569E-2,8.019802188E-2
9.283750000E-2,5.009094998E-2,-3.970624134E-2,-4.031710699E-2,7.557220380E-2
9.499606000E-2,5.497787148E-2,-3.604105115E-2,-4.276056588E-2,7.842187013E-2
9.684753800E-2,5.681046844E-2,-3.298672289E-2,-4.153883830E-2,7.772405225E-2
9.921513700E-2,6.108652428E-2,-2.809980139E-2,-4.153883830E-2,7.903567153E-2
1.009181920E-1,6.414084882E-2,-2.748893574E-2,-4.214970022E-2,8.152476497E-2
1.032083680E-1,6.536258012E-2,-2.565634064E-2,-4.276056588E-2,8.221302019E-2
1.050311920E-1,6.475171447E-2,-2.687807009E-2,-4.337143153E-2,8.243965218E-2
1.073831750E-1,6.475171447E-2,-2.504547499E-2,-4.398229718E-2,8.218578228E-2
1.091306920E-1,6.230825558E-2,-2.565634064E-2,-4.764748737E-2,8.252787155E-2
1.114867910E-1,6.047565863E-2,-2.443460934E-2,-4.948008433E-2,8.186961686E-2
1.134258070E-1,5.864306539E-2,-2.382374369E-2,-4.825835302E-2,7.959553077E-2
1.155948290E-1,5.314527452E-2,-2.382374369E-2,-5.253441259E-2,7.843376488E-2
1.173809230E-1,4.886921868E-2,-2.321287990E-2,-5.253441259E-2,7.541155637E-2
1.196832140E-1,4.581489414E-2,-2.138028294E-2,-5.131268129E-2,7.203549323E-2
1.214637300E-1,4.092797264E-2,-2.443460934E-2,-5.497787148E-2,7.276479527E-2
1.238067910E-1,3.359758854E-2,-2.138028294E-2,-5.681046844E-2,6.937826589E-2
1.255517300E-1,3.176499158E-2,-2.199114859E-2,-5.925392732E-2,7.073650549E-2
1.278468290E-1,2.932153270E-2,-2.015855350E-2,-5.925392732E-2,6.911691155E-2
1.296594230E-1,2.687807009E-2,-1.710422710E-2,-5.925392732E-2,6.727565042E-2
1.320634450E-1,2.321287990E-2,-1.343903504E-2,-5.864306539E-2,6.448608047E-2
1.338856920E-1,2.199114859E-2,-1.099557430E-2,-5.742133409E-2,6.246377253E-2
1.360685980E-1,2.138028294E-2,-9.162978269E-3,-5.864306539E-2,6.308792109E-2
1.379338460E-1,2.443460934E-2,-3.054326167E-3,-6.047565863E-2,6.529689371E-2
1.402880210E-1,2.015855350E-2,1.221730490E-3,-6.169738993E-2,6.491862467E-2
1.419973070E-1,1.954768784E-2,3.054326167E-3,-5.803219974E-2,6.131212943E-2
1.442810210E-1,1.893682219E-2,7.941247895E-3,-5.864306539E-2,6.213433649E-2
1.461086150E-1,1.893682219E-2,1.404990070E-2,-5.803219974E-2,6.263975695E-2
1.484523290E-1,1.954768784E-2,1.771509275E-2,-5.558873713E-2,6.153084029E-2
1.502475000E-1,1.954768784E-2,1.954768784E-2,-5.558873713E-2,6.208326583E-2
1.525561750E-1,1.832595654E-2,2.626720630E-2,-5.497787148E-2,6.362682738E-2
1.544847690E-1,1.893682219E-2,2.565634064E-2,-5.558873713E-2,6.408555801E-2
1.566643670E-1,2.199114859E-2,2.871066704E-2,-5.864306539E-2,6.889791098E-2
1.584626150E-1,2.138028294E-2,3.054326214E-2,-5.803219974E-2,6.897639863E-2
1.607519830E-1,2.076941915E-2,3.237585723E-2,-6.047565863E-2,7.167196237E-2
1.625442300E-1,2.321287990E-2,3.481931984E-2,-6.230825558E-2,7.505692201E-2
1.648748670E-1,1.954768784E-2,3.665191308E-2,-6.475171447E-2,7.693022396E-2
1.666354610E-1,1.954768784E-2,3.787364438E-2,-6.230825558E-2,7.549068653E-2
1.689146750E-1,1.832595654E-2,3.909537569E-2,-6.658431143E-2,7.935842495E-2
1.707301920E-1,1.893682219E-2,4.398229718E-2,-6.475171447E-2,8.053465233E-2
1.731316750E-1,1.954768784E-2,4.153883830E-2,-6.719517708E-2,8.138045840E-2
1.749946150E-1,1.954768784E-2,4.337143153E-2,-6.658431143E-2,8.183314549E-2
1.771465980E-1,2.015855350E-2,4.459316283E-2,-6.841690838E-2,8.411771991E-2
1.790082300E-1,1.588249579E-2,4.459316283E-2,-6.780604273E-2,8.269500151E-2
1.813648670E-1,1.710422710E-2,4.031710699E-2,-6.963863969E-2,8.226520430E-2
1.830810000E-1,1.832595654E-2,3.787364438E-2,-7.147123665E-2,8.293606748E-2
1.853569830E-1,2.015855350E-2,3.359758854E-2,-7.086037099E-2,8.097133698E-2
1.871783840E-1,1.893682219E-2,3.115412779E-2,-7.024950534E-2,7.914654707E-2
1.895304830E-1,2.076941915E-2,3.237585723E-2,-7.147123665E-2,8.116466332E-2
1.912893840E-1,1.954768784E-2,2.687807009E-2,-7.208210230E-2,7.937488408E-2
1.936343670E-1,2.260201424E-2,2.565634064E-2,-7.330382615E-2,8.088602965E-2
1.955203460E-1,2.199114859E-2,2.443460934E-2,-6.963863969E-2,7.700779758E-2
1.977419060E-1,2.260201424E-2,1.893682219E-2,-7.024950534E-2,7.618692331E-2
1.995398460E-1,2.199114859E-2,1.649336144E-2,-6.841690838E-2,7.373272639E-2
2.018298290E-1,2.199114859E-2,1.038470957E-2,-6.841690838E-2,7.261078544E-2
2.036148840E-1,2.382374369E-2,1.160643995E-2,-6.719517708E-2,7.223207068E-2
2.059528290E-1,2.565634064E-2,7.330383174E-3,-6.719517708E-2,7.229919886E-2
2.077834230E-1,2.687807009E-2,6.719517522E-3,-6.352998316E-2,6.930830634E-2
2.099921370E-1,2.565634064E-2,4.276056774E-3,-6.230825558E-2,6.751926533E-2
2.118241150E-1,2.748893574E-2,1.221730490E-3,-6.291911751E-2,6.867277162E-2
2.142087900E-1,3.237585723E-2,-1.221730490E-3,-5.925392732E-2,6.753307826E-2
2.160308460E-1,3.787364438E-2,-4.276056774E-3,-5.925392732E-2,7.045371178E-2
2.182148670E-1,4.092797264E-2,-7.330383174E-3,-5.497787148E-2,6.893039833E-2
2.202500980E-1,3.909537569E-2,-9.162978269E-3,-5.742133409E-2,7.006866760E-2
2.224330210E-1,4.581489414E-2,-9.773843922E-3,-5.436700583E-2,7.176561762E-2
2.241508840E-1,4.948008433E-2,-1.160643995E-2,-5.314527452E-2,7.353508277E-2
2.264256750E-1,5.314527452E-2,-1.343903504E-2,-5.436700583E-2,7.720621211E-2
2.284614440E-1,5.558873713E-2,-1.466076635E-2,-5.070181563E-2,7.665324438E-2
2.305580210E-1,5.742133409E-2,-1.343903504E-2,-5.192354694E-2,7.857399060E-2
2.322788840E-1,5.864306539E-2,-1.588249579E-2,-5.070181563E-2,7.913240108E-2
2.346267130E-1,6.169738993E-2,-1.466076635E-2,-4.764748737E-2,7.932079833E-2
2.365207300E-1,6.414084882E-2,-1.588249579E-2,-5.192354694E-2,8.403783009E-2
2.387352130E-1,7.024950534E-2,-1.771509275E-2,-4.886921868E-2,8.739003402E-2
2.405379610E-1,7.269296050E-2,-1.710422710E-2,-5.009094998E-2,8.992176800E-2
2.428238290E-1,7.391469181E-2,-1.588249579E-2,-5.070181563E-2,9.102916811E-2
2.446057690E-1,8.002334833E-2,-1.404990070E-2,-4.886921868E-2,9.481211168E-2
2.469487520E-1,8.246681094E-2,-1.160643995E-2,-5.131268129E-2,9.781858523E-2
2.487142690E-1,8.552113175E-2,-8.552113548E-3,-4.948008433E-2,9.917298709E-2
2.509902520E-1,8.491026610E-2,-4.886921961E-3,-5.192354694E-2,9.964782999E-2
2.528073460E-1,9.224065393E-2,-1.832595794E-3,-5.314527452E-2,1.064712020E-1
